checking_account,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate,personal_status,other_debtors,residence_since,property,age_years,other_installments,housing,existing_credits,job,num_dependents,telephone,foreign_worker,default
0_to_200,64,existing_paid,domestic,7951,less_100,over_7yr,2,male_single,none,4,car,30,none,free,1,skilled,1,none,yes,1
less_0,38,no_credits,business,17850,less_100,1_to_4yr,1,male_single,none,4,no_property,53,none,rent,1,skilled,2,none,yes,0
0_to_200,53,critical,car,14441,less_100,4_to_7yr,2,male_single,none,1,car,48,none,own,2,skilled,2,none,yes,0
0_to_200,65,existing_paid,car,17606,less_100,4_to_7yr,1,female_div,none,4,real_estate,66,none,rent,1,highly_qualified,2,none,yes,1
no_checking,20,critical,repairs,13954,less_100,less_1yr,2,male_single,none,3,savings_insurance,24,none,own,4,skilled,1,none,yes,0
0_to_200,6,existing_paid,repairs,2373,no_known_savings,1_to_4yr,2,male_single,none,3,no_property,33,bank,own,4,unskilled_resident,1,none,no,1
less_0,35,existing_paid,car,11783,less_100,4_to_7yr,4,male_single,none,4,savings_insurance,33,none,own,1,skilled,2,none,yes,1
0_to_200,16,no_credits,education,16858,no_known_savings,less_1yr,4,female_div,none,1,car,34,none,rent,1,skilled,1,yes,yes,0
0_to_200,71,existing_paid,car,14698,less_100,1_to_4yr,1,male_single,none,1,no_property,38,none,own,2,skilled,1,none,yes,1
no_checking,17,delayed,repairs,14836,less_100,1_to_4yr,3,female_div,none,4,car,31,none,own,2,unskilled_resident,2,none,yes,0
no_checking,14,critical,others,2064,100_to_500,over_7yr,4,male_single,none,2,savings_insurance,62,none,own,1,unskilled_resident,2,none,yes,1
no_checking,59,critical,repairs,13251,less_100,1_to_4yr,2,male_div,none,2,no_property,60,none,own,2,skilled,1,none,yes,0
less_0,70,critical,education,17740,less_100,over_7yr,4,male_married,none,2,real_estate,64,none,own,3,skilled,2,yes,yes,0
0_to_200,32,critical,business,16758,no_known_savings,1_to_4yr,4,male_single,none,2,no_property,49,bank,own,1,skilled,1,yes,yes,0
0_to_200,12,existing_paid,car,13630,less_100,4_to_7yr,1,male_single,none,4,real_estate,52,none,own,2,skilled,1,none,yes,1
no_checking,70,existing_paid,furniture,15656,no_known_savings,1_to_4yr,4,male_single,none,1,real_estate,47,none,own,4,skilled,2,none,yes,1
less_0,28,existing_paid,others,3181,less_100,over_7yr,4,male_single,co-applicant,3,no_property,21,none,own,1,skilled,2,yes,yes,1
less_0,45,critical,radio_tv,13817,less_100,1_to_4yr,2,male_single,none,3,real_estate,27,none,own,1,skilled,1,none,yes,0
no_checking,12,existing_paid,education,14288,no_known_savings,1_to_4yr,4,female_div,none,4,car,29,none,rent,4,unskilled_resident,2,none,yes,1
no_checking,43,existing_paid,repairs,12567,less_100,4_to_7yr,2,male_single,none,3,no_property,29,none,rent,4,skilled,1,none,yes,1
no_checking,28,critical,furniture,3221,over_1000,1_to_4yr,4,male_married,none,2,no_property,43,none,own,2,skilled,2,none,yes,1
over_200,8,existing_paid,retraining,2267,over_1000,less_1yr,4,male_single,none,1,no_property,40,bank,own,4,unskilled_resident,1,none,yes,1
no_checking,14,existing_paid,domestic,2665,less_100,less_1yr,3,female_div,none,4,savings_insurance,60,none,own,3,unskilled_resident,2,none,yes,1
less_0,62,critical,car,1859,no_known_savings,unemployed,4,male_single,none,1,car,64,none,own,1,unskilled_resident,1,none,yes,0
0_to_200,41,existing_paid,domestic,967,no_known_savings,over_7yr,2,male_single,guarantor,4,real_estate,27,bank,rent,3,skilled,1,none,yes,1
no_checking,8,existing_paid,education,12912,less_100,less_1yr,2,male_single,none,4,savings_insurance,38,none,rent,2,skilled,2,none,yes,1
over_200,51,critical,retraining,7032,over_1000,less_1yr,1,male_single,none,4,no_property,39,none,own,4,skilled,1,none,yes,1
over_200,21,all_paid,retraining,1298,no_known_savings,4_to_7yr,1,male_single,none,4,savings_insurance,28,none,own,1,skilled,1,none,yes,1
no_checking,40,existing_paid,retraining,11868,less_100,1_to_4yr,3,female_div,none,1,car,40,none,own,4,highly_qualified,1,none,yes,0
less_0,63,existing_paid,radio_tv,8557,no_known_savings,1_to_4yr,2,male_married,none,3,savings_insurance,47,none,own,4,unskilled_resident,1,none,yes,0
no_checking,51,existing_paid,education,8155,over_1000,less_1yr,2,male_single,none,4,car,27,none,own,2,unskilled_resident,1,yes,yes,1
no_checking,31,existing_paid,business,10243,less_100,over_7yr,2,male_single,none,2,no_property,23,none,free,2,skilled,2,yes,yes,1
no_checking,72,existing_paid,domestic,10588,less_100,over_7yr,3,male_single,none,4,real_estate,58,none,own,2,skilled,1,none,yes,1
less_0,43,existing_paid,business,5828,less_100,over_7yr,2,male_single,none,1,car,29,none,own,2,skilled,1,none,yes,1
less_0,48,critical,furniture,14084,less_100,1_to_4yr,1,male_single,none,4,no_property,19,bank,own,1,skilled,1,yes,yes,1
no_checking,65,existing_paid,others,18254,less_100,4_to_7yr,3,female_div,none,2,savings_insurance,71,none,own,3,highly_qualified,2,none,yes,1
no_checking,61,existing_paid,others,6798,no_known_savings,less_1yr,1,male_married,none,1,real_estate,60,none,own,3,skilled,2,none,yes,1
0_to_200,70,existing_paid,business,7631,500_to_1000,unemployed,1,male_married,none,4,car,19,none,own,1,unskilled_resident,1,yes,yes,1
no_checking,59,critical,car,3191,500_to_1000,unemployed,3,male_single,none,2,savings_insurance,72,none,own,4,skilled,1,yes,yes,1
no_checking,43,existing_paid,furniture,5945,500_to_1000,1_to_4yr,4,male_div,none,1,real_estate,57,none,own,1,unskilled_resident,2,none,yes,1
less_0,43,critical,education,6651,less_100,1_to_4yr,4,female_div,none,4,no_property,64,none,own,3,skilled,2,none,yes,0
over_200,36,critical,repairs,15429,100_to_500,1_to_4yr,1,male_single,none,2,car,23,none,rent,3,unskilled_resident,1,yes,yes,1
no_checking,9,critical,others,14706,no_known_savings,unemployed,4,male_single,none,1,no_property,67,bank,own,1,skilled,2,none,yes,0
0_to_200,22,delayed,repairs,13347,less_100,1_to_4yr,2,female_div,none,4,no_property,40,none,rent,2,skilled,1,yes,yes,1
0_to_200,43,existing_paid,furniture,6447,less_100,4_to_7yr,3,male_single,none,1,car,44,none,own,4,highly_qualified,1,none,yes,1
no_checking,62,existing_paid,domestic,5700,less_100,1_to_4yr,1,male_single,none,2,real_estate,71,none,own,1,skilled,1,none,yes,0
0_to_200,62,critical,others,18187,less_100,4_to_7yr,2,male_single,none,4,savings_insurance,24,none,own,3,skilled,2,none,yes,0
no_checking,51,existing_paid,car,17646,no_known_savings,less_1yr,4,female_div,none,4,real_estate,50,none,free,2,skilled,1,yes,yes,1
less_0,44,existing_paid,car,8628,less_100,over_7yr,2,male_single,none,4,no_property,66,none,own,4,highly_qualified,1,yes,yes,1
less_0,16,existing_paid,retraining,2131,100_to_500,1_to_4yr,4,male_div,none,2,real_estate,29,bank,own,3,skilled,2,none,yes,0
less_0,48,critical,radio_tv,7049,less_100,less_1yr,1,female_div,none,3,savings_insurance,28,bank,rent,4,skilled,1,yes,yes,0
no_checking,56,existing_paid,furniture,14847,no_known_savings,less_1yr,2,female_div,none,4,car,65,none,own,2,highly_qualified,1,none,yes,1
0_to_200,45,no_credits,others,13925,less_100,1_to_4yr,3,male_single,none,2,real_estate,57,none,rent,3,skilled,1,yes,yes,1
no_checking,66,existing_paid,radio_tv,4836,less_100,over_7yr,1,female_div,none,1,real_estate,73,none,own,2,skilled,2,yes,yes,1
no_checking,30,critical,furniture,8680,less_100,1_to_4yr,2,male_single,none,1,car,52,none,rent,1,skilled,2,none,yes,0
no_checking,41,critical,business,2595,less_100,less_1yr,2,male_single,none,2,real_estate,49,none,own,1,unskilled_resident,1,none,yes,0
less_0,63,existing_paid,education,16709,less_100,over_7yr,4,male_single,none,3,real_estate,30,none,own,4,highly_qualified,2,yes,yes,0
0_to_200,10,existing_paid,education,9798,less_100,4_to_7yr,1,male_single,none,2,savings_insurance,69,none,rent,2,skilled,1,yes,yes,1
no_checking,8,existing_paid,retraining,6127,less_100,1_to_4yr,1,female_div,none,1,car,62,none,own,2,unskilled_resident,1,none,yes,1
less_0,48,existing_paid,retraining,7035,100_to_500,1_to_4yr,1,male_single,none,1,car,34,none,own,4,highly_qualified,2,none,yes,1
no_checking,61,critical,education,16083,less_100,less_1yr,1,male_single,none,4,savings_insurance,56,none,own,4,skilled,2,yes,yes,1
less_0,34,existing_paid,domestic,5172,less_100,1_to_4yr,4,male_single,none,3,car,21,none,own,4,unskilled_resident,1,none,yes,1
no_checking,26,existing_paid,others,4936,100_to_500,1_to_4yr,3,male_married,none,2,savings_insurance,20,none,own,1,unskilled_resident,2,none,yes,1
0_to_200,45,existing_paid,education,14657,less_100,over_7yr,1,female_div,none,1,no_property,70,none,own,4,skilled,2,none,yes,1
no_checking,13,existing_paid,domestic,12455,no_known_savings,1_to_4yr,4,female_div,none,1,real_estate,23,none,own,1,unskilled_resident,2,yes,yes,1
over_200,35,no_credits,radio_tv,13429,500_to_1000,1_to_4yr,3,male_single,none,1,car,29,none,own,4,highly_qualified,1,none,yes,1
no_checking,56,critical,domestic,16774,less_100,1_to_4yr,3,male_single,guarantor,2,no_property,43,stores,rent,2,skilled,1,none,yes,0
no_checking,33,existing_paid,radio_tv,18423,less_100,over_7yr,4,male_married,none,2,no_property,53,none,own,2,skilled,2,none,yes,1
no_checking,42,critical,furniture,266,no_known_savings,over_7yr,1,male_single,none,3,real_estate,53,none,own,4,skilled,1,yes,yes,0
0_to_200,34,existing_paid,repairs,13624,less_100,1_to_4yr,3,male_single,none,4,savings_insurance,40,stores,free,4,skilled,1,yes,yes,1
0_to_200,5,existing_paid,furniture,17098,less_100,4_to_7yr,1,female_div,none,4,car,55,none,free,1,skilled,2,yes,yes,1
no_checking,15,existing_paid,education,6206,no_known_savings,1_to_4yr,1,male_single,none,4,real_estate,40,none,own,3,skilled,1,none,yes,1
less_0,42,existing_paid,radio_tv,16723,less_100,1_to_4yr,2,female_div,guarantor,1,no_property,73,none,own,1,highly_qualified,2,yes,yes,1
0_to_200,69,existing_paid,education,5065,less_100,less_1yr,1,male_single,none,4,car,29,none,own,2,skilled,1,yes,yes,0
less_0,16,all_paid,others,3093,less_100,1_to_4yr,2,male_single,none,1,car,50,none,own,4,skilled,1,yes,yes,1
less_0,49,existing_paid,car,16222,no_known_savings,less_1yr,3,male_single,none,3,real_estate,53,none,own,2,skilled,2,yes,yes,1
no_checking,30,critical,education,17603,no_known_savings,over_7yr,4,male_single,none,1,car,49,none,own,3,skilled,1,none,yes,0
no_checking,20,existing_paid,others,1344,less_100,1_to_4yr,2,male_div,none,3,car,63,none,own,1,skilled,2,yes,yes,1
0_to_200,63,existing_paid,domestic,6374,no_known_savings,over_7yr,4,female_div,none,3,no_property,71,none,own,2,skilled,1,yes,yes,0
0_to_200,67,delayed,furniture,1654,500_to_1000,1_to_4yr,3,male_single,guarantor,4,real_estate,26,none,own,1,unskilled_resident,1,yes,yes,1
less_0,38,existing_paid,domestic,4232,no_known_savings,4_to_7yr,1,male_single,none,4,real_estate,38,none,own,4,highly_qualified,1,none,yes,1
no_checking,33,existing_paid,car,12765,less_100,1_to_4yr,3,female_div,co-applicant,1,savings_insurance,60,stores,own,2,skilled,2,none,yes,1
no_checking,66,critical,radio_tv,16040,no_known_savings,less_1yr,4,female_div,none,2,real_estate,52,none,own,3,skilled,1,yes,yes,0
0_to_200,31,no_credits,others,12455,less_100,1_to_4yr,3,male_single,none,4,car,22,none,own,1,skilled,1,none,yes,0
0_to_200,63,critical,repairs,12998,500_to_1000,less_1yr,1,male_single,none,4,no_property,36,stores,own,1,skilled,2,none,yes,1
0_to_200,40,critical,education,3342,no_known_savings,1_to_4yr,3,male_single,none,2,savings_insurance,69,none,own,3,skilled,2,yes,yes,0
0_to_200,25,critical,radio_tv,14221,over_1000,1_to_4yr,1,female_div,none,2,no_property,22,none,own,2,skilled,1,none,yes,0
less_0,71,existing_paid,repairs,14866,less_100,4_to_7yr,2,male_married,none,4,real_estate,38,none,rent,2,unskilled_resident,2,none,yes,1
no_checking,23,existing_paid,business,5183,less_100,less_1yr,4,male_single,none,2,real_estate,27,none,own,1,skilled,2,yes,yes,1
no_checking,71,critical,education,5176,less_100,less_1yr,1,female_div,none,1,real_estate,34,bank,own,3,unskilled_resident,2,none,yes,0
